"year","country","region","wealth","quality.of.government"
2006,"DE","Schleswig-Holstein",25200,NA
2007,"DE","Schleswig-Holstein",25900,NA
2008,"DE","Schleswig-Holstein",26700,NA
2009,"DE","Schleswig-Holstein",26000,NA
2010,"DE","Schleswig-Holstein",26600,NA
2011,"DE","Schleswig-Holstein",27400,NA
2012,"DE","Schleswig-Holstein",28500,NA
2013,"DE","Schleswig-Holstein",29000,NA
2000,"DE","THÜRINGEN",16400,NA
2001,"DE","THÜRINGEN",17000,NA
2002,"DE","THÜRINGEN",17400,NA
2003,"DE","THÜRINGEN",17900,NA
2004,"DE","THÜRINGEN",18500,NA
2005,"DE","THÜRINGEN",18700,NA
2006,"DE","THÜRINGEN",19600,NA
2007,"DE","THÜRINGEN",20700,NA
2008,"DE","THÜRINGEN",21200,NA
2009,"DE","THÜRINGEN",20500,NA
2010,"DE","THÜRINGEN",21900,1.38499
2011,"DE","THÜRINGEN",23300,NA
2012,"DE","THÜRINGEN",23800,NA
2013,"DE","THÜRINGEN",24400,0.487858
2000,"DE","Thüringen",16400,NA
2001,"DE","Thüringen",17000,NA
2002,"DE","Thüringen",17400,NA
2003,"DE","Thüringen",17900,NA
2004,"DE","Thüringen",18500,NA
2005,"DE","Thüringen",18700,NA
2006,"DE","Thüringen",19600,NA
2007,"DE","Thüringen",20700,NA
2008,"DE","Thüringen",21200,NA
2009,"DE","Thüringen",20500,NA
2010,"DE","Thüringen",21900,NA
2011,"DE","Thüringen",23300,NA
2012,"DE","Thüringen",23800,NA
2013,"DE","Thüringen",24400,NA
2000,"DE","EXTRA-REGIO NUTS 1",NA,NA
2001,"DE","EXTRA-REGIO NUTS 1",NA,NA
2002,"DE","EXTRA-REGIO NUTS 1",NA,NA
2003,"DE","EXTRA-REGIO NUTS 1",NA,NA
2004,"DE","EXTRA-REGIO NUTS 1",NA,NA
2005,"DE","EXTRA-REGIO NUTS 1",NA,NA
2006,"DE","EXTRA-REGIO NUTS 1",NA,NA
2007,"DE","EXTRA-REGIO NUTS 1",NA,NA
2008,"DE","EXTRA-REGIO NUTS 1",NA,NA
2009,"DE","EXTRA-REGIO NUTS 1",NA,NA
2010,"DE","EXTRA-REGIO NUTS 1",NA,NA
2011,"DE","EXTRA-REGIO NUTS 1",NA,NA
2012,"DE","EXTRA-REGIO NUTS 1",NA,NA
2013,"DE","EXTRA-REGIO NUTS 1",NA,NA
2000,"DE","Extra-Regio NUTS 2",NA,NA
2001,"DE","Extra-Regio NUTS 2",NA,NA
2002,"DE","Extra-Regio NUTS 2",NA,NA
2003,"DE","Extra-Regio NUTS 2",NA,NA
2004,"DE","Extra-Regio NUTS 2",NA,NA
2005,"DE","Extra-Regio NUTS 2",NA,NA
2006,"DE","Extra-Regio NUTS 2",NA,NA
2007,"DE","Extra-Regio NUTS 2",NA,NA
2008,"DE","Extra-Regio NUTS 2",NA,NA
2009,"DE","Extra-Regio NUTS 2",NA,NA
2010,"DE","Extra-Regio NUTS 2",NA,NA
2011,"DE","Extra-Regio NUTS 2",NA,NA
2012,"DE","Extra-Regio NUTS 2",NA,NA
2013,"DE","Extra-Regio NUTS 2",NA,NA
2000,"FR","ÎLE DE FRANCE",38100,NA
2001,"FR","ÎLE DE FRANCE",39100,NA
2002,"FR","ÎLE DE FRANCE",40200,NA
2003,"FR","ÎLE DE FRANCE",40700,NA
2004,"FR","ÎLE DE FRANCE",41800,NA
2005,"FR","ÎLE DE FRANCE",43300,NA
2006,"FR","ÎLE DE FRANCE",44600,NA
2007,"FR","ÎLE DE FRANCE",47500,NA
2008,"FR","ÎLE DE FRANCE",50900,NA
2009,"FR","ÎLE DE FRANCE",48800,NA
2010,"FR","ÎLE DE FRANCE",51600,NA
2011,"FR","ÎLE DE FRANCE",51800,NA
2012,"FR","ÎLE DE FRANCE",52700,NA
2013,"FR","ÎLE DE FRANCE",53600,NA
2000,"FR","Île de France",38100,NA
2001,"FR","Île de France",39100,NA
2002,"FR","Île de France",40200,NA
2003,"FR","Île de France",40700,NA
2004,"FR","Île de France",41800,NA
2005,"FR","Île de France",43300,NA
2006,"FR","Île de France",44600,NA
2007,"FR","Île de France",47500,NA
2008,"FR","Île de France",50900,NA
2009,"FR","Île de France",48800,NA
2010,"FR","Île de France",51600,0.69526
2011,"FR","Île de France",51800,NA
2012,"FR","Île de France",52700,NA
2013,"FR","Île de France",53600,0.551796
2000,"FR","BASSIN PARISIEN",21600,NA
2001,"FR","BASSIN PARISIEN",22100,NA
2002,"FR","BASSIN PARISIEN",22600,NA
2003,"FR","BASSIN PARISIEN",23100,NA
2004,"FR","BASSIN PARISIEN",24000,NA
2005,"FR","BASSIN PARISIEN",24400,NA
2006,"FR","BASSIN PARISIEN",25200,NA
2007,"FR","BASSIN PARISIEN",26400,NA
2008,"FR","BASSIN PARISIEN",26000,NA
2009,"FR","BASSIN PARISIEN",25000,NA
2010,"FR","BASSIN PARISIEN",25400,NA
2011,"FR","BASSIN PARISIEN",26300,NA
2012,"FR","BASSIN PARISIEN",26300,NA
2013,"FR","BASSIN PARISIEN",26400,NA
2000,"FR","Champagne-Ardenne",23200,NA
2001,"FR","Champagne-Ardenne",23300,NA
2002,"FR","Champagne-Ardenne",23700,NA
2003,"FR","Champagne-Ardenne",23900,NA
2004,"FR","Champagne-Ardenne",25600,NA
2005,"FR","Champagne-Ardenne",25900,NA
2006,"FR","Champagne-Ardenne",26600,NA
2007,"FR","Champagne-Ardenne",28000,NA
2008,"FR","Champagne-Ardenne",27700,NA
2009,"FR","Champagne-Ardenne",26200,NA
2010,"FR","Champagne-Ardenne",26500,0.314171
2011,"FR","Champagne-Ardenne",28300,NA
2012,"FR","Champagne-Ardenne",27500,NA
2013,"FR","Champagne-Ardenne",27600,0.402989
2000,"FR","Picardie",20200,NA
2001,"FR","Picardie",20700,NA
2002,"FR","Picardie",21200,NA
2003,"FR","Picardie",21700,NA
2004,"FR","Picardie",22100,NA
2005,"FR","Picardie",22600,NA
2006,"FR","Picardie",23100,NA
2007,"FR","Picardie",24200,NA
2008,"FR","Picardie",23900,NA
2009,"FR","Picardie",23000,NA
2010,"FR","Picardie",23500,0.614968
2011,"FR","Picardie",24200,NA
2012,"FR","Picardie",24400,NA
2013,"FR","Picardie",24100,0.403292
2000,"FR","Haute-Normandie",22300,NA
2001,"FR","Haute-Normandie",22800,NA
2002,"FR","Haute-Normandie",23300,NA
2003,"FR","Haute-Normandie",23900,NA
2004,"FR","Haute-Normandie",24800,NA
2005,"FR","Haute-Normandie",25300,NA
2006,"FR","Haute-Normandie",26100,NA
2007,"FR","Haute-Normandie",27500,NA
2008,"FR","Haute-Normandie",27000,NA
2009,"FR","Haute-Normandie",25900,NA
2010,"FR","Haute-Normandie",26600,0.249004
2011,"FR","Haute-Normandie",27500,NA
2012,"FR","Haute-Normandie",27700,NA
2013,"FR","Haute-Normandie",27900,0.465732
2000,"FR","Centre",21900,NA
2001,"FR","Centre",22700,NA
2002,"FR","Centre",23100,NA
2003,"FR","Centre",23600,NA
2004,"FR","Centre",24500,NA
2005,"FR","Centre",24900,NA
2006,"FR","Centre",25800,NA
2007,"FR","Centre",26700,NA
2008,"FR","Centre",26100,NA
2009,"FR","Centre",25400,NA
2010,"FR","Centre",25700,0.765379
2011,"FR","Centre",26500,NA
2012,"FR","Centre",26600,NA
2013,"FR","Centre",26700,0.947852
2000,"FR","Basse-Normandie",20500,NA
2001,"FR","Basse-Normandie",20900,NA
2002,"FR","Basse-Normandie",21500,NA
2003,"FR","Basse-Normandie",22200,NA
2004,"FR","Basse-Normandie",23200,NA
2005,"FR","Basse-Normandie",23600,NA
2006,"FR","Basse-Normandie",24500,NA
2007,"FR","Basse-Normandie",25300,NA
2008,"FR","Basse-Normandie",25100,NA
2009,"FR","Basse-Normandie",24300,NA
2010,"FR","Basse-Normandie",24800,0.648103
2011,"FR","Basse-Normandie",25700,NA
2012,"FR","Basse-Normandie",25400,NA
2013,"FR","Basse-Normandie",25700,0.85503
2000,"FR","Bourgogne",21700,NA
2001,"FR","Bourgogne",22100,NA
2002,"FR","Bourgogne",22600,NA
2003,"FR","Bourgogne",23000,NA
2004,"FR","Bourgogne",24100,NA
2005,"FR","Bourgogne",24400,NA
2006,"FR","Bourgogne",25300,NA
2007,"FR","Bourgogne",26700,NA
2008,"FR","Bourgogne",26600,NA
2009,"FR","Bourgogne",25500,NA
2010,"FR","Bourgogne",25400,0.629824
2011,"FR","Bourgogne",26300,NA
2012,"FR","Bourgogne",26400,NA
2013,"FR","Bourgogne",26700,0.434835
2000,"FR","NORD - PAS-DE-CALAIS",19300,NA
2001,"FR","NORD - PAS-DE-CALAIS",19800,NA
2002,"FR","NORD - PAS-DE-CALAIS",20500,NA
2003,"FR","NORD - PAS-DE-CALAIS",21200,NA
2004,"FR","NORD - PAS-DE-CALAIS",21900,NA
2005,"FR","NORD - PAS-DE-CALAIS",22600,NA
2006,"FR","NORD - PAS-DE-CALAIS",23700,NA
2007,"FR","NORD - PAS-DE-CALAIS",24700,NA
2008,"FR","NORD - PAS-DE-CALAIS",25300,NA
2009,"FR","NORD - PAS-DE-CALAIS",24500,NA
2010,"FR","NORD - PAS-DE-CALAIS",24700,NA
2011,"FR","NORD - PAS-DE-CALAIS",25600,NA
2012,"FR","NORD - PAS-DE-CALAIS",25500,NA
2013,"FR","NORD - PAS-DE-CALAIS",25700,NA
2000,"FR","Nord - Pas-de-Calais",19300,NA
2001,"FR","Nord - Pas-de-Calais",19800,NA
2002,"FR","Nord - Pas-de-Calais",20500,NA
2003,"FR","Nord - Pas-de-Calais",21200,NA
2004,"FR","Nord - Pas-de-Calais",21900,NA
2005,"FR","Nord - Pas-de-Calais",22600,NA
2006,"FR","Nord - Pas-de-Calais",23700,NA
2007,"FR","Nord - Pas-de-Calais",24700,NA
2008,"FR","Nord - Pas-de-Calais",25300,NA
2009,"FR","Nord - Pas-de-Calais",24500,NA
2010,"FR","Nord - Pas-de-Calais",24700,0.692292
2011,"FR","Nord - Pas-de-Calais",25600,NA
2012,"FR","Nord - Pas-de-Calais",25500,NA
2013,"FR","Nord - Pas-de-Calais",25700,0.285524
2000,"FR","EST",21900,NA
2001,"FR","EST",22600,NA
2002,"FR","EST",23000,NA
2003,"FR","EST",23400,NA
2004,"FR","EST",24200,NA
2005,"FR","EST",24500,NA
2006,"FR","EST",25300,NA
2007,"FR","EST",26300,NA
2008,"FR","EST",26200,NA
2009,"FR","EST",25300,NA
2010,"FR","EST",25300,NA
2011,"FR","EST",26000,NA
2012,"FR","EST",25700,NA
2013,"FR","EST",25800,NA
2000,"FR","Lorraine",20300,NA
2001,"FR","Lorraine",21000,NA
2002,"FR","Lorraine",21400,NA
2003,"FR","Lorraine",21900,NA
2004,"FR","Lorraine",22900,NA
2005,"FR","Lorraine",23300,NA
2006,"FR","Lorraine",24100,NA
2007,"FR","Lorraine",24800,NA
2008,"FR","Lorraine",24300,NA
2009,"FR","Lorraine",23500,NA
2010,"FR","Lorraine",23400,0.375779
2011,"FR","Lorraine",24000,NA
2012,"FR","Lorraine",23900,NA
2013,"FR","Lorraine",24000,0.509552
2000,"FR","Alsace",24500,NA
2001,"FR","Alsace",25000,NA
2002,"FR","Alsace",25300,NA
2003,"FR","Alsace",25700,NA
2004,"FR","Alsace",26300,NA
2005,"FR","Alsace",26500,NA
2006,"FR","Alsace",27400,NA
2007,"FR","Alsace",28800,NA
2008,"FR","Alsace",29300,NA
2009,"FR","Alsace",28500,NA
2010,"FR","Alsace",28300,0.619167
2011,"FR","Alsace",29300,NA
2012,"FR","Alsace",29100,NA
2013,"FR","Alsace",29400,0.716354
2000,"FR","Franche-Comté",21400,NA
2001,"FR","Franche-Comté",22300,NA
2002,"FR","Franche-Comté",22700,NA
2003,"FR","Franche-Comté",23000,NA
2004,"FR","Franche-Comté",23700,NA
2005,"FR","Franche-Comté",23900,NA
2006,"FR","Franche-Comté",24400,NA
2007,"FR","Franche-Comté",25200,NA
2008,"FR","Franche-Comté",25000,NA
2009,"FR","Franche-Comté",24000,NA
2010,"FR","Franche-Comté",24200,0.639998
2011,"FR","Franche-Comté",24900,NA
2012,"FR","Franche-Comté",24000,NA
2013,"FR","Franche-Comté",23700,0.667669
2000,"FR","OUEST",21400,NA
2001,"FR","OUEST",22200,NA
2002,"FR","OUEST",22700,NA
2003,"FR","OUEST",23300,NA
2004,"FR","OUEST",24300,NA
2005,"FR","OUEST",24900,NA
2006,"FR","OUEST",25800,NA
2007,"FR","OUEST",26700,NA
2008,"FR","OUEST",26500,NA
2009,"FR","OUEST",25600,NA
2010,"FR","OUEST",25800,NA
2011,"FR","OUEST",26900,NA
2012,"FR","OUEST",27100,NA
2013,"FR","OUEST",27400,NA
2000,"FR","Pays de la Loire",22100,NA
2001,"FR","Pays de la Loire",23000,NA
2002,"FR","Pays de la Loire",23600,NA
2003,"FR","Pays de la Loire",24200,NA
2004,"FR","Pays de la Loire",24900,NA
2005,"FR","Pays de la Loire",25500,NA
2006,"FR","Pays de la Loire",26300,NA
2007,"FR","Pays de la Loire",27400,NA
2008,"FR","Pays de la Loire",27800,NA
2009,"FR","Pays de la Loire",26800,NA
2010,"FR","Pays de la Loire",26900,0.494807
2011,"FR","Pays de la Loire",28200,NA
2012,"FR","Pays de la Loire",28300,NA
2013,"FR","Pays de la Loire",28600,0.73872
2000,"FR","Bretagne",21300,NA
2001,"FR","Bretagne",21900,NA
2002,"FR","Bretagne",22400,NA
2003,"FR","Bretagne",23000,NA
2004,"FR","Bretagne",24300,NA
2005,"FR","Bretagne",25100,NA
2006,"FR","Bretagne",26000,NA
2007,"FR","Bretagne",26700,NA
2008,"FR","Bretagne",26200,NA
2009,"FR","Bretagne",25200,NA
2010,"FR","Bretagne",25300,1.21809
2011,"FR","Bretagne",26300,NA
2012,"FR","Bretagne",26500,NA
2013,"FR","Bretagne",26600,1.146102
2000,"FR","Poitou-Charentes",20300,NA
2001,"FR","Poitou-Charentes",20900,NA
2002,"FR","Poitou-Charentes",21700,NA
2003,"FR","Poitou-Charentes",22200,NA
2004,"FR","Poitou-Charentes",23100,NA
2005,"FR","Poitou-Charentes",23400,NA
2006,"FR","Poitou-Charentes",24200,NA
2007,"FR","Poitou-Charentes",25200,NA
2008,"FR","Poitou-Charentes",24600,NA
2009,"FR","Poitou-Charentes",24000,NA
2010,"FR","Poitou-Charentes",24400,0.92835
2011,"FR","Poitou-Charentes",25400,NA
2012,"FR","Poitou-Charentes",25900,NA
2013,"FR","Poitou-Charentes",26200,0.892842
2000,"FR","SUD-OUEST",21400,NA
2001,"FR","SUD-OUEST",22500,NA
2002,"FR","SUD-OUEST",23200,NA
2003,"FR","SUD-OUEST",23500,NA
2004,"FR","SUD-OUEST",24300,NA
2005,"FR","SUD-OUEST",25100,NA
2006,"FR","SUD-OUEST",26400,NA
2007,"FR","SUD-OUEST",27000,NA
2008,"FR","SUD-OUEST",26800,NA
2009,"FR","SUD-OUEST",26300,NA
2010,"FR","SUD-OUEST",26500,NA
2011,"FR","SUD-OUEST",27500,NA
2012,"FR","SUD-OUEST",27800,NA
2013,"FR","SUD-OUEST",28000,NA
2000,"FR","Aquitaine",21800,NA
2001,"FR","Aquitaine",23000,NA
2002,"FR","Aquitaine",23600,NA
2003,"FR","Aquitaine",24000,NA
2004,"FR","Aquitaine",24600,NA
2005,"FR","Aquitaine",25400,NA
2006,"FR","Aquitaine",26500,NA
2007,"FR","Aquitaine",27400,NA
2008,"FR","Aquitaine",27000,NA
2009,"FR","Aquitaine",26600,NA
2010,"FR","Aquitaine",27000,0.982647
2011,"FR","Aquitaine",28100,NA
2012,"FR","Aquitaine",28100,NA
2013,"FR","Aquitaine",28100,0.93857
2000,"FR","Midi-Pyrénées",21200,NA
2001,"FR","Midi-Pyrénées",22500,NA
2002,"FR","Midi-Pyrénées",23100,NA
2003,"FR","Midi-Pyrénées",23500,NA
2004,"FR","Midi-Pyrénées",24400,NA
2005,"FR","Midi-Pyrénées",25400,NA
2006,"FR","Midi-Pyrénées",27000,NA
2007,"FR","Midi-Pyrénées",27100,NA
2008,"FR","Midi-Pyrénées",27300,NA
2009,"FR","Midi-Pyrénées",26900,NA
2010,"FR","Midi-Pyrénées",26700,0.534466
2011,"FR","Midi-Pyrénées",27800,NA
2012,"FR","Midi-Pyrénées",28500,NA
2013,"FR","Midi-Pyrénées",28900,0.890183
2000,"FR","Limousin",20000,NA
2001,"FR","Limousin",20700,NA
2002,"FR","Limousin",21600,NA
2003,"FR","Limousin",22000,NA
2004,"FR","Limousin",22300,NA
2005,"FR","Limousin",23100,NA
2006,"FR","Limousin",23900,NA
2007,"FR","Limousin",24600,NA
2008,"FR","Limousin",23700,NA
2009,"FR","Limousin",23200,NA
2010,"FR","Limousin",22900,0.884901
2011,"FR","Limousin",23500,NA
2012,"FR","Limousin",23600,NA
2013,"FR","Limousin",24000,0.705953
2000,"FR","CENTRE-EST",24100,NA
2001,"FR","CENTRE-EST",24800,NA
2002,"FR","CENTRE-EST",25100,NA
2003,"FR","CENTRE-EST",25600,NA
2004,"FR","CENTRE-EST",26900,NA
2005,"FR","CENTRE-EST",27500,NA
2006,"FR","CENTRE-EST",28800,NA
2007,"FR","CENTRE-EST",29800,NA
2008,"FR","CENTRE-EST",30200,NA
2009,"FR","CENTRE-EST",29000,NA
2010,"FR","CENTRE-EST",29600,NA
2011,"FR","CENTRE-EST",30700,NA
2012,"FR","CENTRE-EST",30700,NA
2013,"FR","CENTRE-EST",31000,NA
2000,"FR","Rhône-Alpes",24900,NA
2001,"FR","Rhône-Alpes",25600,NA
2002,"FR","Rhône-Alpes",25900,NA
2003,"FR","Rhône-Alpes",26300,NA
2004,"FR","Rhône-Alpes",27700,NA
2005,"FR","Rhône-Alpes",28400,NA
2006,"FR","Rhône-Alpes",29800,NA
2007,"FR","Rhône-Alpes",30700,NA
2008,"FR","Rhône-Alpes",31400,NA
2009,"FR","Rhône-Alpes",30000,NA
2010,"FR","Rhône-Alpes",30600,0.961513
2011,"FR","Rhône-Alpes",31800,NA
2012,"FR","Rhône-Alpes",31800,NA
2013,"FR","Rhône-Alpes",32000,0.788318
2000,"FR","Auvergne",20600,NA
2001,"FR","Auvergne",21100,NA
2002,"FR","Auvergne",21700,NA
2003,"FR","Auvergne",22200,NA
2004,"FR","Auvergne",23200,NA
2005,"FR","Auvergne",23800,NA
2006,"FR","Auvergne",24600,NA
2007,"FR","Auvergne",25700,NA
2008,"FR","Auvergne",25000,NA
2009,"FR","Auvergne",24200,NA
2010,"FR","Auvergne",24600,0.712116
2011,"FR","Auvergne",25700,NA
2012,"FR","Auvergne",25700,NA
2013,"FR","Auvergne",25900,0.862454
2000,"FR","MÉDITERRANÉE",21100,NA
2001,"FR","MÉDITERRANÉE",22000,NA
2002,"FR","MÉDITERRANÉE",22400,NA
2003,"FR","MÉDITERRANÉE",23100,NA
2004,"FR","MÉDITERRANÉE",24100,NA
2005,"FR","MÉDITERRANÉE",24900,NA
2006,"FR","MÉDITERRANÉE",26000,NA
2007,"FR","MÉDITERRANÉE",26700,NA
2008,"FR","MÉDITERRANÉE",26800,NA
2009,"FR","MÉDITERRANÉE",26400,NA
2010,"FR","MÉDITERRANÉE",27100,NA
2011,"FR","MÉDITERRANÉE",27700,NA
2012,"FR","MÉDITERRANÉE",28100,NA
2013,"FR","MÉDITERRANÉE",28300,NA
2000,"FR","Languedoc-Roussillon",18700,NA
2001,"FR","Languedoc-Roussillon",19500,NA
2002,"FR","Languedoc-Roussillon",19900,NA
2003,"FR","Languedoc-Roussillon",20600,NA
2004,"FR","Languedoc-Roussillon",21400,NA
2005,"FR","Languedoc-Roussillon",21900,NA
2006,"FR","Languedoc-Roussillon",22900,NA
2007,"FR","Languedoc-Roussillon",23700,NA
2008,"FR","Languedoc-Roussillon",24000,NA
2009,"FR","Languedoc-Roussillon",23600,NA
2010,"FR","Languedoc-Roussillon",23600,0.684202
2011,"FR","Languedoc-Roussillon",24400,NA
2012,"FR","Languedoc-Roussillon",24200,NA
2013,"FR","Languedoc-Roussillon",24400,0.517005
2000,"FR","Provence-Alpes-Côte d'Azur",22500,NA
2001,"FR","Provence-Alpes-Côte d'Azur",23500,NA
2002,"FR","Provence-Alpes-Côte d'Azur",23900,NA
2003,"FR","Provence-Alpes-Côte d'Azur",24600,NA
2004,"FR","Provence-Alpes-Côte d'Azur",25800,NA
2005,"FR","Provence-Alpes-Côte d'Azur",26700,NA
2006,"FR","Provence-Alpes-Côte d'Azur",27800,NA
2007,"FR","Provence-Alpes-Côte d'Azur",28500,NA
2008,"FR","Provence-Alpes-Côte d'Azur",28500,NA
2009,"FR","Provence-Alpes-Côte d'Azur",28000,NA
2010,"FR","Provence-Alpes-Côte d'Azur",29100,0.345777
2011,"FR","Provence-Alpes-Côte d'Azur",29700,NA
2012,"FR","Provence-Alpes-Côte d'Azur",30400,NA
2013,"FR","Provence-Alpes-Côte d'Azur",30700,0.188156
2000,"FR","Corse",18500,NA
2001,"FR","Corse",19300,NA
2002,"FR","Corse",19500,NA
2003,"FR","Corse",20100,NA
2004,"FR","Corse",20800,NA
2005,"FR","Corse",21700,NA
2006,"FR","Corse",22800,NA
2007,"FR","Corse",23300,NA
2008,"FR","Corse",24500,NA
2009,"FR","Corse",25000,NA
2010,"FR","Corse",25400,0.248762
2011,"FR","Corse",26100,NA
2012,"FR","Corse",26200,NA
2013,"FR","Corse",26600,0.31166
2000,"FR","DÉPARTEMENTS D'OUTRE-MER",NA,NA
2001,"FR","DÉPARTEMENTS D'OUTRE-MER",NA,NA
2002,"FR","DÉPARTEMENTS D'OUTRE-MER",NA,NA
2003,"FR","DÉPARTEMENTS D'OUTRE-MER",NA,NA
2004,"FR","DÉPARTEMENTS D'OUTRE-MER",NA,NA
2005,"FR","DÉPARTEMENTS D'OUTRE-MER",NA,NA
2006,"FR","DÉPARTEMENTS D'OUTRE-MER",NA,NA
2007,"FR","DÉPARTEMENTS D'OUTRE-MER",NA,NA
2008,"FR","DÉPARTEMENTS D'OUTRE-MER",NA,NA
2009,"FR","DÉPARTEMENTS D'OUTRE-MER",NA,NA
2010,"FR","DÉPARTEMENTS D'OUTRE-MER",NA,NA
2011,"FR","DÉPARTEMENTS D'OUTRE-MER",NA,NA
2012,"FR","DÉPARTEMENTS D'OUTRE-MER",NA,NA
2013,"FR","DÉPARTEMENTS D'OUTRE-MER",NA,NA
2000,"FR","Guadeloupe",NA,NA
2001,"FR","Guadeloupe",NA,NA
2002,"FR","Guadeloupe",NA,NA
2003,"FR","Guadeloupe",NA,NA
2004,"FR","Guadeloupe",NA,NA
2005,"FR","Guadeloupe",NA,NA
2006,"FR","Guadeloupe",NA,NA
2007,"FR","Guadeloupe",NA,NA
2008,"FR","Guadeloupe",NA,NA
2009,"FR","Guadeloupe",NA,NA
2010,"FR","Guadeloupe",NA,-0.508348
2011,"FR","Guadeloupe",NA,NA
2012,"FR","Guadeloupe",NA,NA
2013,"FR","Guadeloupe",NA,-0.29951
2000,"FR","Martinique",NA,NA
2001,"FR","Martinique",NA,NA
2002,"FR","Martinique",NA,NA
2003,"FR","Martinique",NA,NA
2004,"FR","Martinique",NA,NA
2005,"FR","Martinique",NA,NA
2006,"FR","Martinique",NA,NA
2007,"FR","Martinique",NA,NA
2008,"FR","Martinique",NA,NA
2009,"FR","Martinique",NA,NA
2010,"FR","Martinique",NA,NA
2011,"FR","Martinique",NA,NA
2012,"FR","Martinique",NA,NA
2013,"FR","Martinique",NA,NA
2000,"FR","Guyane",NA,NA
2001,"FR","Guyane",NA,NA
2002,"FR","Guyane",NA,NA
2003,"FR","Guyane",NA,NA
2004,"FR","Guyane",NA,NA
2005,"FR","Guyane",NA,NA
2006,"FR","Guyane",NA,NA
2007,"FR","Guyane",NA,NA
2008,"FR","Guyane",NA,NA
2009,"FR","Guyane",NA,NA
2010,"FR","Guyane",NA,NA
2011,"FR","Guyane",NA,NA
2012,"FR","Guyane",NA,NA
2013,"FR","Guyane",NA,NA
2000,"FR","La Réunion",NA,NA
2001,"FR","La Réunion",NA,NA
2002,"FR","La Réunion",NA,NA
2003,"FR","La Réunion",NA,NA
2004,"FR","La Réunion",NA,NA
2005,"FR","La Réunion",NA,NA
2006,"FR","La Réunion",NA,NA
2007,"FR","La Réunion",NA,NA
2008,"FR","La Réunion",NA,NA
2009,"FR","La Réunion",NA,NA
2010,"FR","La Réunion",NA,NA
2011,"FR","La Réunion",NA,NA
2012,"FR","La Réunion",NA,NA
2013,"FR","La Réunion",NA,NA
2000,"FR","DÉPARTEMENTS D'OUTRE-MER",13000,NA
2001,"FR","DÉPARTEMENTS D'OUTRE-MER",13700,NA
2002,"FR","DÉPARTEMENTS D'OUTRE-MER",14200,NA
2003,"FR","DÉPARTEMENTS D'OUTRE-MER",14900,NA
2004,"FR","DÉPARTEMENTS D'OUTRE-MER",15500,NA
2005,"FR","DÉPARTEMENTS D'OUTRE-MER",16300,NA
2006,"FR","DÉPARTEMENTS D'OUTRE-MER",17300,NA
2007,"FR","DÉPARTEMENTS D'OUTRE-MER",18000,NA
2008,"FR","DÉPARTEMENTS D'OUTRE-MER",18400,NA
2009,"FR","DÉPARTEMENTS D'OUTRE-MER",18100,NA
2010,"FR","DÉPARTEMENTS D'OUTRE-MER",18300,NA
2011,"FR","DÉPARTEMENTS D'OUTRE-MER",18400,NA
2012,"FR","DÉPARTEMENTS D'OUTRE-MER",19200,NA
2013,"FR","DÉPARTEMENTS D'OUTRE-MER",19500,NA
2000,"FR","Guadeloupe",13500,NA
2001,"FR","Guadeloupe",14200,NA
2002,"FR","Guadeloupe",14700,NA
2003,"FR","Guadeloupe",16100,NA
2004,"FR","Guadeloupe",16600,NA
2005,"FR","Guadeloupe",17400,NA
2006,"FR","Guadeloupe",18700,NA
2007,"FR","Guadeloupe",19400,NA
2008,"FR","Guadeloupe",20500,NA
2009,"FR","Guadeloupe",20300,NA
2010,"FR","Guadeloupe",20900,NA
2011,"FR","Guadeloupe",21200,NA
2012,"FR","Guadeloupe",21500,NA
2013,"FR","Guadeloupe",21800,NA
2000,"FR","Martinique",15300,NA
2001,"FR","Martinique",16100,NA
2002,"FR","Martinique",16600,NA
2003,"FR","Martinique",17500,NA
2004,"FR","Martinique",18200,NA
2005,"FR","Martinique",19000,NA
2006,"FR","Martinique",20200,NA
2007,"FR","Martinique",21000,NA
2008,"FR","Martinique",20900,NA
2009,"FR","Martinique",20700,NA
2010,"FR","Martinique",21200,-0.350851
2011,"FR","Martinique",21500,NA
2012,"FR","Martinique",22200,NA
2013,"FR","Martinique",22600,NA
2000,"FR","Guyane",12000,NA
2001,"FR","Guyane",13400,NA
2002,"FR","Guyane",13900,NA
2003,"FR","Guyane",13400,NA
2004,"FR","Guyane",13300,NA
2005,"FR","Guyane",13900,NA
2006,"FR","Guyane",15300,NA
2007,"FR","Guyane",14900,NA
2008,"FR","Guyane",15000,NA
2009,"FR","Guyane",15300,NA
2010,"FR","Guyane",15000,-0.467938
2011,"FR","Guyane",15100,NA
2012,"FR","Guyane",16300,NA
2013,"FR","Guyane",16600,NA
2000,"FR","La Réunion",13500,NA
2001,"FR","La Réunion",14200,NA
2002,"FR","La Réunion",14900,NA
2003,"FR","La Réunion",15600,NA
2004,"FR","La Réunion",16400,NA
2005,"FR","La Réunion",17200,NA
2006,"FR","La Réunion",18200,NA
2007,"FR","La Réunion",19100,NA
2008,"FR","La Réunion",19700,NA
2009,"FR","La Réunion",19000,NA
2010,"FR","La Réunion",19100,-0.055498
2011,"FR","La Réunion",19100,NA
2012,"FR","La Réunion",20400,NA
2013,"FR","La Réunion",20700,NA
2000,"FR","Mayotte",4300,NA
2001,"FR","Mayotte",4400,NA
2002,"FR","Mayotte",4500,NA
2003,"FR","Mayotte",4900,NA
